day,lat,lon,sst,ssh,sss,u_current,v_current,u_wind,v_wind,temp_0m,temp_50m,temp_100m,temp_500m,temp_1000m
0,15.0,85.0,3.108755,0.9324021,3.108356,1.5364243,-1.1650767,0.6172646,1.5066371,3.1068428,2.9051783,2.2097223,2.8955684,4.590767
0,15.0,85.25,2.901783,0.7766253,2.9854681,1.2373904,-1.4221396,0.6593759,1.4786462,2.8999817,2.706501,2.0908809,2.905805,3.9834716
0,15.0,85.5,2.5645685,0.5083465,2.7361634,0.7243515,-1.7715516,0.724982,1.4342817,2.5629487,2.2380793,1.7972994,2.7942028,3.2180958
0,15.0,85.75,1.8070226,0.19265969,2.3023643,0.17689987,-1.9042561,0.77844477,1.387985,1.8058101,1.3929373,1.1469201,2.3190486,2.4451287
0,15.0,86.0,1.0618128,-0.15993571,1.7831057,-0.16633572,-2.1155956,0.7812204,1.3507817,1.0610012,0.43976468,0.3157201,1.5187545,1.4507849
0,15.0,86.25,0.06668036,-0.5953788,1.1576921,-0.5629752,-2.3735855,0.7102822,1.3248943,0.066403896,-0.6658586,-0.65258294,0.17370434,-0.19594187
0,15.0,86.5,-0.8441395,-1.0976235,0.6435725,-1.3044857,-2.1519074,0.56929,1.3045678,-0.84392613,-1.582209,-1.378762,-1.1282585,-1.9616632
0,15.0,86.75,-1.7367814,-1.5178348,0.2781906,-2.1760638,-1.2391217,0.38327157,1.2824903,-1.7360879,-2.2300503,-1.8646241,-2.1828935,-3.2256684
0,15.0,87.0,-2.2602608,-1.749412,0.01020264,-2.7523613,-0.20628893,0.18870266,1.253982,-2.2592857,-2.6929128,-2.2166727,-2.945723,-3.7309685
0,15.0,87.25,-2.451465,-1.8404554,-0.14844166,-2.9995456,0.5363036,0.02973009,1.2115191,-2.4503872,-2.9373677,-2.3366187,-3.03652,-3.509899
0,15.0,87.5,-2.5766299,-1.8290639,-0.24054173,-3.0064085,1.0388521,-0.048564162,1.1371272,-2.5754848,-3.1505883,-2.3637938,-2.5978951,-2.9413702
0,15.0,87.75,-2.5904593,-1.7450417,-0.16390519,-2.7904944,1.2766573,-0.018671835,1.0062722,-2.5893068,-3.1583564,-2.1865084,-1.8407334,-2.195565
0,15.0,88.0,-2.1384394,-1.6391087,-0.033974435,-2.3831248,1.1434749,0.105728924,0.8063845,-2.13753,-2.917876,-1.8781317,-1.2331059,-1.7360646
0,15.0,88.25,-1.9070568,-1.5873703,0.03925673,-1.9962239,0.7572765,0.26252863,0.55776274,-1.9062718,-2.7258794,-1.773845,-1.1677408,-2.18709
0,15.0,88.5,-2.0410476,-1.6106305,-0.025956312,-1.7233592,0.47508812,0.3628326,0.3181919,-2.0401907,-2.866204,-2.0359766,-1.889021,-3.6019464
0,15.0,88.75,-2.1286943,-1.6665121,-0.062811814,-1.465783,0.49865204,0.33082154,0.16284898,-2.1277902,-3.0512135,-2.2922986,-2.8574896,-4.955366
0,15.0,89.0,-2.0114527,-1.6956105,-0.06493244,-1.2144471,0.9051764,0.13969144,0.1490364,-2.0106115,-3.114788,-2.4234269,-3.6310604,-5.380328
0,15.0,89.25,-1.93468,-1.5989934,-0.0021650835,-0.95660084,1.5665628,-0.17546296,0.28499377,-1.9338801,-2.8390906,-2.299004,-3.5371878,-4.6997886
0,15.0,89.5,-1.4294548,-1.348913,0.12550573,-0.61182576,1.9553431,-0.5321674,0.51946604,-1.4289266,-2.2118437,-1.862471,-2.2945366,-3.494931
0,15.0,89.75,-0.7070646,-1.0560374,0.3427226,-0.395151,1.6646821,-0.833473,0.7593804,-0.706925,-1.3368183,-1.1071252,-0.3012161,-2.3201563
0,15.0,90.0,-0.44228852,-0.86574703,0.45061123,-0.3531379,1.304981,-1.001035,0.90831554,-0.44229126,-0.7911287,-0.5787748,1.0719848,-1.6957084
0,15.25,85.0,2.702246,0.78222257,2.8290684,1.485121,-0.91139567,0.6986388,1.4873569,2.700552,2.6540496,1.8263185,3.0751524,3.825207
0,15.25,85.25,2.5678337,0.6718427,2.720514,1.1640023,-1.0633847,0.75740343,1.448407,2.566212,2.495185,1.7696624,3.0079787,3.4220803
0,15.25,85.5,2.0803435,0.480222,2.4396632,0.7009813,-1.3053101,0.8495866,1.3822001,2.078984,1.9800241,1.5196824,2.7166448,2.6864622
0,15.25,85.75,1.4973931,0.24174757,2.031745,0.22943455,-1.5530746,0.9277863,1.3074863,1.4963472,1.1728553,1.0305588,2.2634158,1.8692541
0,15.25,86.0,0.89544535,-0.08136212,1.5874666,-0.18522388,-1.8952396,0.9452027,1.2404675,0.8947232,0.33455917,0.38332328,1.6511047,1.0074492
0,15.25,86.25,-0.020070858,-0.48864922,1.06262,-0.741392,-2.0088398,0.87690127,1.1886307,-0.020300664,-0.574147,-0.43841553,0.55866057,-0.22782306
0,15.25,86.5,-0.8065093,-0.90175444,0.59496844,-1.5933336,-1.5740083,0.7285716,1.150997,-0.80631614,-1.3635601,-1.1620708,-0.7229766,-1.5996106
0,15.25,86.75,-1.5410523,-1.2015314,0.27763337,-2.513914,-0.7457182,0.5271319,1.1231185,-1.5404642,-1.8304024,-1.5811746,-1.794443,-2.558667
0,15.25,87.0,-1.9598049,-1.3599315,0.05044805,-3.153025,-0.021249302,0.308945,1.0998766,-1.9589915,-2.1179903,-1.8074675,-2.478144,-2.9694896
0,15.25,87.25,-2.1534169,-1.4331638,-0.0860458,-3.4492898,0.4634107,0.117996894,1.070083,-2.1524992,-2.2993832,-1.8666087,-2.4441695,-2.8984365
0,15.25,87.5,-2.291237,-1.4376683,-0.13276143,-3.4271982,0.8050392,0.0022432765,1.0111706,-2.2902455,-2.4378307,-1.8304819,-1.8831522,-2.4790838
0,15.25,87.75,-2.0176375,-1.3936882,-0.07409601,-3.1181884,0.92516506,-0.0038749813,0.89578015,-2.016793,-2.5019228,-1.7292774,-1.3155773,-1.8858234
0,15.25,88.0,-1.9452515,-1.3509271,-0.05327675,-2.626449,0.76726437,0.09442545,0.71061176,-1.944446,-2.564004,-1.717252,-1.1961458,-1.6142594
0,15.25,88.25,-1.8641611,-1.3573363,-0.053694684,-2.2037766,0.45500925,0.24106571,0.47490582,-1.8633991,-2.5465803,-1.7686323,-1.319986,-2.0057936
0,15.25,88.5,-1.8874403,-1.4269394,-0.101633154,-1.9330941,0.19716373,0.34840032,0.24275486,-1.8866659,-2.6434362,-1.9719898,-1.7480624,-3.17823
0,15.25,88.75,-2.0677397,-1.5388206,-0.18001883,-1.6706891,0.19240083,0.33706275,0.08396931,-2.066868,-2.8639176,-2.231106,-2.4583924,-4.496743
0,15.25,89.0,-2.1652553,-1.6248795,-0.23839015,-1.3838497,0.61229724,0.173819,0.05273089,-2.1643314,-3.0124178,-2.3933768,-3.1633089,-5.0594726
0,15.25,89.25,-2.1497946,-1.5748136,-0.25773892,-1.067699,1.2943759,-0.11327177,0.15988351,-2.1488788,-2.9406314,-2.3966117,-3.377593,-4.650614
0,15.25,89.5,-1.641833,-1.3701973,-0.09085977,-0.6646943,1.784491,-0.44718578,0.3619646,-1.6411906,-2.283202,-1.8801497,-2.3161623,-3.5364594
0,15.25,89.75,-0.81812155,-1.0852108,0.13409658,-0.34188625,1.6755717,-0.7334624,0.5752294,-0.8179222,-1.3664368,-1.0688117,-0.51737463,-2.4795194
0,15.25,90.0,-0.5262534,-0.8759043,0.20731227,-0.20644416,1.3998729,-0.89340067,0.71021646,-0.52621096,-0.89394444,-0.61837393,0.6471073,-2.0368772
0,15.5,85.0,2.26738,0.58740085,2.4761162,1.295385,-0.49928585,0.8082811,1.4347274,2.2659202,2.3665462,1.4604743,3.394116,2.8889124
0,15.5,85.25,2.2589376,0.54878205,2.3834434,1.0043876,-0.60748804,0.89538676,1.3756465,2.2574823,2.261172,1.4744456,3.2098527,2.825377
0,15.5,85.5,1.8411567,0.43650043,2.1468623,0.6723054,-0.8525393,1.0321558,1.2706839,1.839926,1.7940184,1.3416928,2.7978365,2.3417954
0,15.5,85.75,1.1140773,0.25956026,1.783276,0.33665758,-1.1378887,1.152047,1.1467675,1.1132376,1.0113893,0.9805677,2.2871783,1.5149708
0,15.5,86.0,0.4421109,-5.7760535e-05,1.399954,-0.22237432,-1.3977317,1.195176,1.0296324,0.44163254,0.21648252,0.4302075,1.7687521,0.6966581
0,15.5,86.25,-0.17407587,-0.30881914,0.9918191,-1.0652438,-1.3207572,1.1341577,0.93596596,-0.17422286,-0.4939559,-0.26066658,0.96214604,-0.13556704
0,15.5,86.5,-0.8216367,-0.5737244,0.62693256,-2.0736244,-0.7725253,0.9785531,0.8724727,-0.8214354,-0.98942393,-0.8336478,-0.12660286,-0.953935
0,15.5,86.75,-1.046051,-0.7125046,0.4390484,-3.0089006,-0.07860896,0.7583724,0.8385359,-1.045729,-1.082247,-0.9993205,-1.0062432,-1.4389281
0,15.5,87.0,-1.3634347,-0.7514277,0.2696462,-3.6845453,0.31705156,0.5089138,0.82713693,-1.362942,-1.1860005,-1.0808002,-1.5983804,-1.7624348
0,15.5,87.25,-1.5068681,-0.77125394,0.14372452,-4.0539017,0.4104972,0.27225465,0.8202862,-1.5062983,-1.3064978,-1.0825143,-1.5100034,-1.8742615
0,15.5,87.5,-1.3940871,-0.79723066,0.13949876,-4.026541,0.3972844,0.099333696,0.7880323,-1.3935779,-1.371447,-1.0025872,-0.9442411,-1.6639438
0,15.5,87.75,-1.3391504,-0.8361456,0.1304745,-3.6090555,0.30366933,0.034939412,0.6993139,-1.3386707,-1.5824842,-1.0943534,-0.7960438,-1.39562
0,15.5,88.0,-1.3477,-0.905046,0.056686085,-3.0046115,0.16417682,0.08786089,0.5405758,-1.3472158,-1.8552413,-1.3274783,-1.1152658,-1.3387003
0,15.5,88.25,-1.3789787,-1.0011425,-0.025786042,-2.5267615,0.026595997,0.21306172,0.32950595,-1.3784777,-2.0293393,-1.5582725,-1.3842889,-1.7383844
0,15.5,88.5,-1.5280802,-1.1287754,-0.10482183,-2.2691457,-0.15127237,0.32679158,0.11335516,-1.5274991,-2.2077541,-1.7908125,-1.5479519,-2.740847
0,15.5,88.75,-1.7666146,-1.3055813,-0.21767925,-2.0443482,-0.21476255,0.34616885,-0.04820824,-1.765905,-2.460617,-1.9967341,-1.8689703,-3.8989477
0,15.5,89.0,-1.8818295,-1.4698836,-0.29742706,-1.7538565,0.1549843,0.22968298,-0.10732094,-1.8810581,-2.598815,-2.0392644,-2.3020911,-4.3666778
0,15.5,89.25,-1.9273688,-1.5002462,-0.36216027,-1.345582,0.8325534,-0.0050043077,-0.04929872,-1.9265728,-2.6385622,-2.0373185,-2.6979115,-4.0599127
0,15.5,89.5,-1.7215135,-1.3770529,-0.31107956,-0.8173028,1.3859358,-0.29098925,0.09580779,-1.7208283,-2.3103049,-1.7663825,-2.342398,-3.3352365
0,15.5,89.75,-1.2792507,-1.1547562,-0.22012493,-0.23926607,1.4430377,-0.5416019,0.26106232,-1.2788033,-1.7510767,-1.3033029,-1.3611581,-2.772532
0,15.5,90.0,-0.93485117,-0.97223413,-0.14639844,0.15385519,1.279503,-0.68233037,0.3701488,-0.934589,-1.3198128,-0.94055325,-0.49619594,-2.5227723
0,15.75,85.0,1.942771,0.42879397,2.0647926,0.88043374,-0.14829072,0.8686986,1.3457258,1.9414855,2.0387588,1.2200099,3.3838754,2.1989837
0,15.75,85.25,1.8183919,0.4412953,1.9691169,0.7250339,-0.2650852,0.9839195,1.2638803,1.8171734,1.9010012,1.2159563,2.9779043,2.4305842
0,15.75,85.5,1.5306795,0.37632173,1.8235679,0.515614,-0.54531324,1.1641433,1.1153854,1.5296156,1.5631436,1.2117484,2.4539664,2.351234
0,15.75,85.75,1.1775208,0.23935673,1.62409,0.2130774,-0.7133099,1.32323,0.9376471,1.176647,1.0468265,1.0943297,2.0583675,1.7696277
0,15.75,86.0,0.4796292,0.08130804,1.3455143,-0.44620627,-0.6884223,1.3886904,0.7680025,0.47913066,0.38989064,0.65309316,1.6905378,0.97707146
0,15.75,86.25,0.055899266,-0.06435279,1.0779598,-1.3935146,-0.44702634,1.3322223,0.6332819,0.055628605,-0.062208567,0.15945059,1.2928597,0.40666497
0,15.75,86.5,-0.25969112,-0.14936414,0.8373386,-2.3656938,0.04016587,1.1690677,0.547202,-0.25979206,-0.26299167,-0.19072579,0.5899241,-0.00017472862
0,15.75,86.75,-0.49221924,-0.13087466,0.6516525,-3.1351385,0.5208685,0.93330896,0.5107617,-0.49219513,-0.30716395,-0.33808213,-0.2508573,-0.31299096
0,15.75,87.0,-0.50528896,-0.053016987,0.5733752,-3.6361535,0.6506276,0.6584539,0.5123343,-0.5052578,-0.1868369,-0.22025958,-0.58543015,-0.43171546
0,15.75,87.25,-0.46876377,-0.0032466152,0.54080737,-3.9278033,0.4075679,0.38239226,0.52577645,-0.46875226,-0.137479,-0.08298785,-0.37652665,-0.5033944
0,15.75,87.5,-0.19645491,-0.037198387,0.5535157,-3.9244463,-0.0010508504,0.1564806,0.51517725,-0.19658986,-0.16081768,-0.0068684337,-0.024408843,-0.48905864
0,15.75,87.75,-0.32157937,-0.16511598,0.45836622,-3.602094,-0.36644268,0.034452878,0.4493757,-0.32164702,-0.4906405,-0.2744605,-0.3252369,-0.61763287
0,15.75,88.0,-0.7121968,-0.36033678,0.25803697,-3.0759873,-0.5056043,0.039631154,0.31783348,-0.7120544,-0.97698814,-0.76475555,-1.0083021,-0.9631465
0,15.75,88.25,-0.8373189,-0.55954206,0.10352555,-2.585592,-0.45188645,0.1402754,0.13724998,-0.83710915,-1.3093728,-1.1459392,-1.3048074,-1.5305766
0,15.75,88.5,-1.0440315,-0.74805564,-0.033014737,-2.338824,-0.50738275,0.2598388,-0.054567497,-1.0437106,-1.659575,-1.4769527,-1.3536733,-2.4919038
0,15.75,88.75,-1.2988981,-0.9808778,-0.14882864,-2.234933,-0.61474246,0.31561127,-0.21234006,-1.2984402,-1.9634371,-1.6313676,-1.3768575,-3.3763845
0,15.75,89.0,-1.243047,-1.2187529,-0.23257005,-2.0703564,-0.3589565,0.26084107,-0.29816586,-1.242619,-2.1251922,-1.5804211,-1.5642215,-3.592612
0,15.75,89.25,-1.4015721,-1.3494197,-0.38864484,-1.6520663,0.24617282,0.1033324,-0.29473025,-1.4010589,-2.3407838,-1.6382979,-2.139318,-3.3315728
0,15.75,89.5,-1.4956131,-1.3378828,-0.47710735,-1.0132676,0.77351725,-0.103907086,-0.2168039,-1.4950494,-2.3424733,-1.6248412,-2.407111,-2.934583
0,15.75,89.75,-1.444706,-1.2428333,-0.4594303,-0.26724586,0.90944415,-0.29006356,-0.110283814,-1.4441696,-2.0729868,-1.4507717,-2.094221,-2.7237926
0,15.75,90.0,-1.2003655,-1.1585593,-0.40940216,0.2931885,0.84944165,-0.39425206,-0.03362715,-1.1999606,-1.7740695,-1.2519419,-1.6339749,-2.6704385
0,16.0,85.0,1.6358755,0.3537754,1.6420146,0.40099427,0.075948976,0.838995,1.2239947,1.634755,1.673404,1.0295014,2.7482529,1.7537761
0,16.0,85.25,1.4974669,0.38809317,1.5663687,0.34337384,-0.024401428,0.9710594,1.1238827,1.496421,1.5360714,1.0495723,2.156854,2.2082994
0,16.0,85.5,1.2822618,0.36183983,1.4896238,0.1417306,-0.25083852,1.1761099,0.93997294,1.2813317,1.2759343,1.0988417,1.4251976,2.414401
0,16.0,85.75,1.000227,0.2853221,1.4269494,-0.26748458,-0.25521025,1.3547102,0.7200856,0.9994485,1.0112069,1.1442277,1.0691508,2.0526369
0,16.0,86.0,0.6482614,0.25013658,1.3015385,-0.9517678,-0.0023539006,1.4269994,0.51237977,0.6476722,0.7064139,0.966895,1.0513065,1.417032
0,16.0,86.25,0.47033894,0.27143753,1.1602461,-1.7709477,0.30874902,1.3664399,0.35175544,0.46984538,0.53640556,0.7177756,1.1362139,1.0142181
0,16.0,86.5,0.2659126,0.3492101,1.0339994,-2.5060585,0.65029067,1.1946307,0.25520447,0.265529,0.53343594,0.5627899,0.9429565,0.8446556
0,16.0,86.75,0.24714155,0.48819134,0.9305687,-3.0161273,0.87348104,0.9496048,0.22074807,0.24676804,0.6327075,0.557435,0.5520863,0.78454465
0,16.0,87.0,0.52841204,0.6372021,0.9011431,-3.2881346,0.78278786,0.6625449,0.22882493,0.5278872,0.82944393,0.72915286,0.46058416,0.8533332
0,16.0,87.25,0.64136696,0.72719204,0.8762219,-3.3844676,0.35543904,0.36565194,0.24584429,0.64078146,0.8694715,0.81685674,0.54071367,0.7983588
0,16.0,87.5,0.74144274,0.69167507,0.8741168,-3.3203957,-0.25080904,0.10758846,0.23573823,0.74080336,0.8097631,0.8190732,0.55062217,0.61037326
0,16.0,87.75,0.36334014,0.51769686,0.6952569,-3.1349192,-0.8130418,-0.05361866,0.17535084,0.36290413,0.32262573,0.37255722,-0.14279035,0.043820713
0,16.0,88.0,-0.11101591,0.22986656,0.45472866,-2.8109035,-1.0971161,-0.08425488,0.06252337,-0.1111968,-0.2311365,-0.2072999,-0.8626803,-0.60916394
0,16.0,88.25,-0.42658487,-0.083751835,0.26995578,-2.384328,-0.99158007,-0.0034852624,-0.08679408,-0.42659605,-0.6379692,-0.6570404,-1.0658667,-1.284223
0,16.0,88.5,-0.8103769,-0.34681398,0.09595632,-2.1496396,-0.85685134,0.12288656,-0.24727541,-0.8101817,-1.1115248,-1.076276,-1.0876975,-2.1605785
0,16.0,88.75,-1.0346984,-0.613534,-0.054778215,-2.1705897,-0.8963615,0.2183509,-0.39160842,-1.0343825,-1.5314231,-1.3118069,-1.1005056,-2.860885
0,16.0,89.0,-1.0350841,-0.89354867,-0.17610264,-2.1743944,-0.794413,0.23645608,-0.4948975,-1.0347681,-1.7654034,-1.2985363,-1.2280532,-2.9607139
0,16.0,89.25,-1.114074,-1.1221933,-0.38971287,-1.8422673,-0.39401224,0.17736956,-0.53971463,-1.1137154,-2.085015,-1.4011635,-1.8161671,-2.7432036
0,16.0,89.5,-1.3405412,-1.2496606,-0.5505552,-1.1911063,0.073594116,0.077202246,-0.5268051,-1.3400608,-2.3389497,-1.5503973,-2.3464744,-2.5211523
0,16.0,89.75,-1.5299759,-1.300495,-0.5807857,-0.46499473,0.3508825,-0.017108874,-0.48010916,-1.5293937,-2.3338518,-1.5494717,-2.3995318,-2.4525907
0,16.0,90.0,-1.4032011,-1.3242185,-0.5222596,0.06767416,0.428988,-0.0682182,-0.4374061,-1.4026871,-2.1391988,-1.3987925,-2.117024,-2.4253244
0,16.25,85.0,1.5413533,0.39586726,1.4359117,-0.0032670735,0.17200452,0.7283679,1.0778776,1.5402838,1.6670364,1.0966023,2.0328085,1.6874607
0,16.25,85.25,1.6083405,0.43717661,1.4321194,-0.0709617,0.12791625,0.86067116,0.96950245,1.6072348,1.6345464,1.247689,1.4481808,2.2385175
0,16.25,85.5,1.4846115,0.4536084,1.4090556,-0.33084318,0.059158813,1.0637197,0.7679864,1.4835725,1.4813937,1.3892531,0.63974977,2.5638223
0,16.25,85.75,1.3368008,0.46781316,1.3854346,-0.8479041,0.21874078,1.2349168,0.5290261,1.3358413,1.3543619,1.5009849,0.2852163,2.3426669
0,16.25,86.0,1.3522044,0.56063443,1.3541981,-1.4865363,0.5403506,1.2945852,0.30832273,1.3512366,1.3377177,1.5474142,0.5992749,1.9485613
0,16.25,86.25,1.0360758,0.71355236,1.2304434,-2.0715766,0.7680961,1.2203107,0.14485769,1.0352781,1.2568023,1.4057553,0.9379612,1.6346649
0,16.25,86.5,1.0190742,0.8938943,1.1604629,-2.484941,0.93241745,1.0385209,0.053903267,1.0182856,1.3306929,1.3815237,1.1399788,1.5923264
0,16.25,86.75,1.1290332,1.0991564,1.1235144,-2.722777,0.9792036,0.78870595,0.025234656,1.1281855,1.4551629,1.4366801,1.1496207,1.6411086
